Source;F-Score;Precision;Recall
vrn.kp.ru;0.7936507936507936;100.0;0.398406374501992
www.baltic-course.com;0.966183574879227;100.0;0.48543689320388345
rus.delfi.ee;1.1049723756906078;100.0;0.5555555555555556
saratov.kp.ru;0.5952380952380953;100.0;0.2985074626865672
informpskov.ru;1.550387596899225;100.0;0.78125
www.mk.ru;1.234567901234568;100.0;0.6211180124223602
newsru.co.il;0.9165045638186444;100.0;0.46059462010382257
www.19rus.info;1.3605442176870748;100.0;0.684931506849315
tengrinews.kz;1.5182648401826484;100.0;0.7649956534337874
news.samaratoday.ru;0.8230452674897119;100.0;0.4132231404958678
vesti.kz;1.574803149606299;100.0;0.7936507936507936
www.kapital-rus.ru;1.4084507042253522;100.0;0.7092198581560284
www.rzn.info;0.9090909090909091;100.0;0.45662100456621
www.nr2.ru;2.1645059293847626;2.3295454545454546;2.553334082014269
www.newsru.com;0.4758328993554824;100.0;0.23860735989756296
inopressa.ru;2.5316455696202533;100.0;1.282051282051282
fedpress.ru;0.9117161716171617;100.0;0.4579612398259747
rus.ruvr.ru;0.9600982608866276;100.0;0.4829645550998276
www.rbc.ru;0.5891193137906545;100.0;0.29557022308485537
www.baikal-daily.ru;0.800011874016683;100.0;0.40172960679873126
www.objectiv.tv;1.130722559293988;100.0;0.5687100973160603
glavred.info;1.0465892404218395;100.0;0.5261169868335851
www.vz.ru;0.9560447064715121;100.0;0.48032726604155174
tiras.ru;1.4565879664889565;100.0;0.7341931121093561
news.liga.net;1.1126920887877063;100.0;0.5597122302158274
primamedia.ru;0.6493506493506493;100.0;0.32573289902280134
eco.ria.ru;0.7905138339920948;100.0;0.3968253968253968
polit.ru;0.9247708863496499;100.0;0.46501477303250066
obkom.net.ua;1.0869565217391304;100.0;0.546448087431694
motor.ru;1.9047619047619049;100.0;0.9615384615384616
www.interfax.ru;0.411522633744856;100.0;0.2061855670103093
www.fergananews.com;1.8518518518518516;100.0;0.9345794392523363
www.express.gr;2.197650008900071;99.95299898054442;1.7169332191939084
www.iatronet.gr;2.504533448118283;100.0;1.274235657543602
www.ethnos.gr;0.6473871751417708;100.0;0.32499047131263603
www.tanea.gr;0.9356862225130065;100.0;0.4704448020625072
health.in.gr;0.39695426833156455;70.0;0.19917620789168208
www.tovima.gr;0.7279703322809493;100.0;0.36835967831474414
www.rizospastis.gr;0.847899869295515;100.0;0.4257963307001796
www1.rizospastis.gr;0.7681873449333474;100.0;0.3869188002829879
www2.rizospastis.gr;0.7340317229429653;100.0;0.3701770853138389
www.amna.gr;0.4357298474945534;100.0;0.21834061135371177
news.in.gr;0.0;0.0;0.0
www.imerisia.gr;0.3541299075258455;100.0;0.1773926264623237
www.kathimerini.com.cy;1.5005270206360806;100.0;0.756003256003256
www.ekathimerini.gr;0.6042296072507554;100.0;0.30303030303030304
www.avgi.gr;0.8338256392944552;100.0;0.41870915032679734
www.gazzetta.gr;1.373652133145804;100.0;0.6916056659378268
ygeia.tanea.gr;0.44563735514655767;100.0;0.22338718305338612
news247.gr;0.26595744680851063;100.0;0.13315579227696406
www.madata.gr;1.234337476825065;100.0;0.6236141906873615
www.sigmalive.com;0.7178207903733035;100.0;0.36082589987513586
www.kavalanet.gr;0.516795865633075;100.0;0.2590673575129534
www.healthierworld.gr;0.7547169811320754;100.0;0.3787878787878788
www.zdrowiutko.info;27.7432023827034;98.96798401733717;17.98667510110059
goodcontents.net;90.84466186118223;88.37984344161356;93.69988792074403
www.biolog.pl;60.82250872896936;89.147631127457;55.61474147731172
www.we-dwoje.pl;43.76328743548943;93.67822277809601;37.777912780942586
